Banco/Billetera,Se requiere,Día de la promoción,Descuento,Rubro,Establecimiento,Tope de reintegro,Condiciones
Banco Ciudad,n/a,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo",2x1,Cine,Atlas,,"Promoción válida para la República Argentina, todos los días, aplica el beneficio 2x1 en funciones tradicionales 2D y 3D. Participan de la promoción los clientes que al momento de comprar sus entradas en www.atlascines.com seleccionen el tipo de precio Tarjeta Débito Banco Ciudad y abonen con las Tarjetas de Débito Visa y Maestro emitidas por el Banco Ciudad. Abonando el valor de 1 entrada a tarifa de mayor valor de cada complejo se entregará además otra entrada para la misma función. No válido en boletería y terminales ATM. No aplica sobre tarifas de jubilados y/o menores, ni funciones de precios reducido. No podrán ser utilizados en festivales, Avant premieres, eventos especiales. Sujeta a capacidad y disponibilidad de salas y a eventuales restricciones de películas. Válido hasta agotar stock de 20.000 entradas. La presente promoción es válida sólo para consumos de tipo familiar. Los descuentos publicados no son acumulables con otras promociones vigentes. Conforme Res. 915/2017 y Res. 240 E/2017. El producto ofrecido corresponde a la cartera de consumo."
Club Crónica,n/a,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo",2x1,Cine,Atlas,,"2x1 en entradas 2D y 3D todos los días con la app Club Cronica
Para acceder al beneficio deberás solicitar un código a través de la APP de Club Crónica. Sólo se aceptará un código por transacción por día y por película. El uso está sujeto a capacidad de salas y restricciones de películas que serán informadas en cada caso en la boletería del complejo. La promoción aplica sobre la entrada de mayor valor del complejo y no aplica sobre tarifas de precios reducidos. Ambas entradas deberán ser utilizadas el mismo día horario y sala. La promoción no es válida para eventos especiales, avant premiere, contenido alternativo. No combinable con otras promociones, descuentos o precios especiales."
Club Movistar,n/a,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo",2x1,Cine,Atlas,,"2x1 en entradas 2D y 3D todos los días con Club Movistar
Para acceder al beneficio deberás solicitar un código en www.clubmovistar.com.ar . El código deberá ser ingresado en www.atlascines.com, terminales ATM o presentarse en boletería de los complejos adheridos al momento de realizar la compra. Sólo se aceptará un código por transacción por día y por película. El uso está sujeto a capacidad de salas y restricciones de películas que serán informadas en cada caso en la boletería del complejo. La promoción aplica sobre la entrada de mayor valor del complejo y no aplica sobre tarifas de precios reducidos. Ambas entradas deberán ser utilizadas el mismo día horario y sala. La promoción no es válida para eventos especiales, avant premiere, contenido alternativo. No combinable con otras promociones, descuentos o precios especiales."
Cupon Star HR,n/a,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo",2x1,Cine,Atlas,,"2x1 en entradas 2D y 3D todos los días con Cupon Star HR
Para acceder al beneficio solicitar un código en una plataforma administrada por Cupon Star HR. El código deberá ser ingresado en www.atlascines.com, terminales ATM o presentarse en boletería del complejo al momento de realizar la compra. Sólo se aceptará un código por transacción por día y por película. El uso está sujeto a capacidad de salas y restricciones de películas que serán informadas en cada caso en la boletería del complejo. La promoción aplica sobre la entrada de mayor valor del complejo y no aplica sobre tarifas de precios reducidos. Ambas entradas deberán ser utilizadas el mismo día horario y sala. La promoción no es válida para eventos especiales, avant premiere, contenido alternativo. No combinable con otras promociones, descuentos o precios especiales."
Club La Nación,n/a,"Domingo, Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",2x1,Cine,Atlas,,"El beneficio solo es aplicable a compras dentro de la web, no es validos en compras en boletería. Solo se aceptará una tarjeta de membresía por transacción, por día y por película. El uso esta sujeto a la capacidad de las salas y restricción de películas que será informada en la web. La promoción aplica sobre el valor de la entrada general del complejo seleccionado. Ambas entradas deben ser utilizadas en el mismo complejo en la misma película en el mismo horario. La promoción no es válida para eventos especiales, Avant Premiere o contenido alternativo. No combinable con otras promociones, descuentos o precios especiales. El beneficio no es transferible."
Clarín 365,n/a,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo",2x1,Cine,Atlas,,"El beneficio solo es aplicable a compras dentro de la web, no es validos en compras en boletería. Solo se aceptará una tarjeta de membresía por transacción, por día y por película. El uso esta sujeto a la capacidad de las salas y restricción de películas que será informada en la web. La promoción aplica sobre el valor de la entrada general del complejo seleccionado. Ambas entradas deben ser utilizadas en el mismo complejo en la misma película en el mismo horario. La promoción no es válida para eventos especiales, Avant Premiere o contenido alternativo. No combinable con otras promociones, descuentos o precios especiales. El beneficio no es transferible."
Galicia Más Premiun,n/a,Lunes,10%,Combustible,Axion,$10.000,"Por cliente, por mes. EXCLUSIVAMENTE, PARA LOS CLIENTES CON TARJETA DE CRÉDITO MASTERCARD PREMIER BLACK LA BONIFICACIÓN DEL 10% (DIEZ POR CIENTO) DE DESCUENTO."
Mi Carrefour Crédito,n/a,Martes,10%,Combustible,Axion,$3.000,"​PROMOCIÓN 10% DE DESCUENTO ABONANDO CON TARJETA MI CARREFOUR CREDITO FÍSICA. VALIDA LOS DIAS MARTES DESDE EL 01 DE MARZO AL 31 DE MARZO DE 2025. TOPE DE DEVOLUCION MENSUAL: $3.000 (TRES MIL) POR CUENTA. SOLO PARA CONSUMO FAMILIAR. EL DESCUENTO SE VERA REFLEJADO EN EL RESUMEN DE CUENTA DE LA TARJETA MI CARREFOUR CREDITO DENTRO DE LOS 30 DÍAS DE REALIZADA LA CARGA DE COMBUSTIBLE. NO ACUMULABLE CON OTRAS PROMOCIONES NI DESCUENTOS VIGENTES.OTORGA BANCO DE SERVICIOS FINANCIEROS S.A. INSCRIPTA EN EL RPC EL 14/07/1998, CON N° 5705, L II DE SA, BERUTI 2915, CABA (C1425BBI)"
Mi Carrefour Prepaga,n/a,Martes,5%,Combustible,Axion,$2.000,"PROMOCIÓN 5% DE DESCUENTO ABONANDO CON TARJETA MI CARREFOUR PREPAGA FÍSICA. VALIDA LOS DIAS MARTES DESDE EL 01 DE MARZO​ AL 31 DE MARZO DE 2025.​TOPE DE DEVOLUCION MENSUAL: $2000 (DOS MIL) POR CUENTA. SOLO PARA CONSUMO FAMILIAR. EL DESCUENTO SE VERA REFLEJADO EN LA CUENTA DE LA TARJETA MI CARREFOUR PREPAGA DENTRO DE LOS 30 DÍAS DE REALIZADA LA CARGA DE COMBUSTIBLE. NO ACUMULABLE CON OTRAS PROMOCIONES NI DESCUENTOS VIGENTES. OTORGA BANCO DE SERVICIOS FINANCIEROS S.A. INSCRIPTA EN EL RPC EL 14/07/1998, CON N° 5705, L II DE SA, BERUTI 2915, CABA (C1425BBI).​​"
Banco Galicia,MODO,Lunes,10%,Combustible,Axion,$10.000,"CARTERA DE CONSUMO (1). Promoción del 10% de ahorro en compras realizadas, en el país, para clientes Galicia. Tope de reintegro $10.000 por cliente, por mes. Válida todos los días lunes comprendidos entre el 01/03/2025 y el 31/03/2025 para compras realizadas con Tarjeta Galicia Mastercard escaneando el QR de MODO desde la app Galicia y/o MODO. No aplica para pagos con dinero en cuenta y/o transferencia. Promoción valida únicamente en las estaciones de servicio de YPF, Shell, Puma Energy y Axion en la compra de combustible. El importe ahorrado se acreditará dentro de los 10 días hábiles posteriores a la compra en la caja de ahorro común. Para acceder a la promoción, el participante deberá tener abierta una caja de ahorro común en el Banco, en donde se acreditará el monto del reintegro. Si el cliente tuviera más de una cuenta, el crédito se realizará en cualquiera de ellas a elección del Banco. Dicha promoción no es acumulable con otras promociones vigentes. Ejemplo: En una compra de $1000 en un pago: el importe del ahorro es de $100. No aplica para compras realizadas con tarjetas de Credito Visa Business, Visa Rural y Tarjetas de Débito emitidas a por Anses para Asignación Universal por hijo ni Progresar. La promoción no aplica a pagos a través de billeteras virtuales (excepto Modo), mPos y/o plataformas de pago online. MODO es marca registrada por Play Digital S.A., CUIT 30-71682943-6, con domicilio en Av. del Libertador 7208, Torre II, Piso 4, CABA (“PDSA”) y es un Proveedor de Servicios Tecnológicos de Banco de Galicia y Buenos Aires S.A.U. Sólo podrán participar de la promoción aquellos clientes que al momento de comprar se encuentren al día con sus productos. Banco Galicia solo es el medio de pago para la adquisición del producto/servicio."
